kode,keterangan_bersih
1210,tani buah anggur kelompok cakup giat tani buah anggur konsumsi produksi wine jus cuka buah kering kismis zante currants sultana tani buah anggur cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup tanam tanam anggur hasil benih biji kelompok cakup buat wine olah awet anggur
1220,tani buah buah tropis subtropis kelompok cakup giat tani buah buah tropis subtropis alpukat pisang pisang raja kurma buah ara pepaya nanas rambutan durian duku jambu biji jambu air lengkeng nangka mangga manggis sawo belimbing salak sirsak buah naga tani buah buah tropis subtropis cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam buah tropis subtropis hasil benih biji
1230,tani buah jeruk kelompok cakup tani buah jeruk jeruk bal jeruk lemon jeruk nipis limau jeruk siam jeruk keprok jeruk mandarin tangerine clementine tani buah jeruk cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam jeruk hasil benih biji
1240,tani buah apel buah batu pome and stone fruits kelompok cakup giat tani buah apel buah batu pome and stone fruits aprikot ceri persik nektarin pir quince plum sloe markisa kepel terong belanda buah delima tani buah apel buah batu cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam apel buah batu hasil benih biji
1251,tani buah kelompok cakup giat tani buah bluberi kismis currants gooseberry kiwi rasberi stroberi tani buah cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam hasil benih biji
1252,tani buah biji kacang kacang kelompok cakup giat tani tanam buah biji kacang kacang makan almon kacang mete chestnut kenari walnut kacang hazel kacang pistasio tani buah biji kacang kacang cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat
1253,tani sayur tahun kelompok cakup giat tani tanam sayur tahun kluwih timbul sukun nangka sayur petai jengkol melinjo tani sayur tahun cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam sayur tahun hasil benih biji
1259,tani buah semak kelompok cakup giat tani tanam semak kacang lokus locust beans dalam giat olah lahan semai tanam pelihara panen giat pascapanen rangkai giat
1261,tani kelapa kelompok cakup giat tani kelapa dalam giat olah lahan bibit tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam kelapa hasil benih biji
1262,tani kelapa sawit kelompok cakup giat tani kelapa sawit dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam kelapa sawit hasil benih biji
1269,tani buah oleagin kelompok cakup giat tani buah oleagin zaitun dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam oleagin hasil benih biji
