kode,keterangan_bersih
1193,tani tanam bunga kelompok cakup giat tani tanam bunga produksi bunga potong kuncup bunga misal anggrek anyelir gerbera hebras gladiol krisan mawar melati sedap malam giat tani tanam bunga maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok tidak cakup giat tani tanam bunga produksi tanam bunga hidup
1194,tani benih tanam bunga kelompok cakup giat tani benih tanam bunga hasil benih upa biji produksi semua jenis bahan tanam vegetatif masuk batang stek tunas bibit banyak tanam bunga masuk subgolongan
1199,tani tanam musim lain ytdl kelompok cakup giat tani tanam musim lain belum klasifikasi tempat dan giat tanam hasil benih upa biji
1210,tani buah anggur kelompok cakup giat tani buah anggur konsumsi langsung produksi wine jus cuka buah kering kismis zante currants sultana tani buah anggur maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup tanam tanam anggur untuk hasil benih upa biji kelompok tidak cakup buat wine olah awet anggur
1220,tani buah buah tropis subtropis kelompok cakup giat tani buah buah tropis subtropis alpukat pisang pisang raja kurma buah ara pepaya nanas rambutan durian duku jambu biji jambu air lengkeng nangka mangga manggis sawo belimbing salak sirsak buah naga tani buah buah tropis subtropis maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam buah tropis subtropis hasil benih upa biji
1230,tani buah jeruk kelompok cakup tani buah jeruk jeruk bal jeruk lemon jeruk nipis limau jeruk siam jeruk keprok jeruk mandarin tangerine clementine tani buah jeruk maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam jeruk hasil benih upa biji
1240,tani buah apel buah batu pome and stone fruits kelompok cakup giat tani buah apel buah batu pome and stone fruits aprikot ceri persik nektarin pir quince plum sloe markisa kepel terong belanda buah delima tani buah apel buah batu maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam apel buah batu hasil benih upa biji
1251,tani buah beri kelompok cakup giat tani buah beri bluberi kismis currants gooseberry kiwi rasberi stroberi tani buah beri maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam beri hasil benih upa biji
1252,tani buah biji kacang kacang kelompok cakup giat tani tanam buah biji kacang kacang dapat makan almon kacang mete chestnut kenari walnut kacang hazel kacang pistasio tani buah biji kacang kacang maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat
1253,tani sayur tahun kelompok cakup giat tani tanam sayur tahun kluwih timbul sukun nangka sayur petai jengkol melinjo tani sayur tahun maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam sayur tahun hasil benih upa biji
1259,tani buah semak lain kelompok cakup giat tani tanam semak lain kacang lokus locust beans masuk dalam giat olah lahan semai tanam pelihara panen giat pascapanen laku satu rangkai giat
1261,tani kelapa kelompok cakup giat tani kelapa masuk dalam giat olah lahan bibit tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam kelapa hasil benih upa biji
